Name,Type,Duration,Cooldown,Description,Prerequisites
Hammerthrow,Upgrade,,,"When tackle is used, the target takes 2 points of damage for each space they are moved.",Bullrush
Finesse,Passive,,,The accuracy of ranged attacks is increased by 1,
Spotter,Passive,,,The accuracy pools of adjacent allies is increased by 2,
Dodge,Defensive,,1,Recieve +2 to dodge bonus against the current attack,Finesse
Evasive,Upgrade,,,The bonus granted by Dodge increases to 4,Dodge
Dexterity,Passive,,,"The accuracy of ranged attacks is increased by 2. Additional recieve an automatic +1 dodge bonus against all attacks",Evasive
Shield Charge,Defensive,3,5,Gain armor 1. For every 2 points of damage recieved gain 1 movement for your next turn.,
Uncanny Reflex,Upgrade,,,"The first time you use dodge on a turn, cooldown is not incurred",Dodge
"Rush","Basic",0,3,You must move at least 4 spaces in a straight line before making a basic melee attack. Your attack is made with +1 damage.,
Sideswipe,Instant,,1,"If you successfully hit a target, you may immediately move 2 spaces.",Rush
"Murder Chain",Passive,"",,"Whenever you kill an opponent, you may move to, and make a basic melee attack against an opponent within 2 spaces.",Sideswipe
Too Fast to Live,Defining,3,5,"Whenever you successfully hit an opponent with an attack, you may move to and make a basic attack against an opponent within 2 squares of your target. You may not make more than 5 such attacks in a single turn.",Murder Chain
Splitting Strike,Basic,0,3,"Instead of dealing damage, when splitting strike is used you may choose to instead reduce the targets armor value by 1 for the rest of the combat.",
Piercing Strikes,Passive,,,"When making a melee attack, your enemies armor value is reduced by 1. Cannot reduce armor value below 0.",
Can Opener,Basic,0,3,"Make a melee attack against an armored target. This attack deal no damage to health. Instead reduce the target's armor value by the damage that would be dealt. This reduction does NOT stack with other armor-reducing effect (choose the larger effect, ignore the smaller).",Piercing Strikes
Pierce The Heavens,"Advanced",0,5,"Make a melee attack. Ignore shields and armor.","Can Opener, Level 5"
Resistance,Defensive,,1,You recieve +2 restance against elemental effects.,
Elemental Endurance,Defensive,,1,You may roll your endurance pool and add it to your elemental resistance,Resistance
Hardy,Passive,,,Recieve +1 resistance,Level 3
Stoic,Passive,,,Recieve +3 resistance,Level 5
Indominable,Passive,,,Recieve +6 resistance,Level 8
Situational Awareness,Passive,,,You cannot be caught unaware,Level 5
Pickpocket,Passive,,,"When you hit a target with a melee attack, you may choose to instead attempt to pickpocket them. If you do, the VL will roll to determine what loot you recieve (if any). When you pickpocket, you deal no damage.",Finesse
Plant,Upgrade,,,"When you use pickpocket, you may instead place an item into someone's inventory.",Pickpocket
Sneak Attack,Passive,,,"When you score a hit against a target who is unaware of you, damage for the attack is doubled. That target is now considered aware of you, even on a miss.",Finesse
Decoy,Basic,3,5,Create a holographic clone of you in the space in front of you. All targets are considered unaware of you for the duration of the skill. The effect ends if you make an attack.,Finesse
Crippling Strike,Advanced,0,5,"If you hit with a Sneak Attack, your target becomes stunned until the end of it's next turn.",Sneak Attack
Weeping Blade,Advanced,0,3,If you hit with a melee attack you may convert damage into stacks of bleed. A creature may make an endurance check to resist bleed (any creature may default 2 against this skill) at the start of their turn. Any unresisted bleed stacks deal 1 damage at the end of that creatures turn. All resisted stacks are removed immediately (at least 1 stack is always removed after damage is delt).,Crippling Strike
Power Strike,Basic,0,3,"Subtract 2 accuracy from a melee attack to deal 2 additional dmg. Must be declared before attacking.",
Devestating Strike,Basic,0,3,"Subtract 4 accuracy from a melee attack to deal 4 additional dmg. Must be declared before attacking. On a successful hit, the target is Stunned.",Power Strike
Apocalypse Strike,Defining,0,3,"Subtract 2 accuracy from a melee attack. This attack deals 4 additional dmg to the target on a hit. On a hit, all creatures/objects within 2 spaces are targeted by the same attack. The target of the attack becomes paralyzed. All creatures within 2 spaces become stunned, even on a miss.",Devestating Strike
Technomancy,Passive,,,Recieve a bonus when using a shield. Add 1 to the capacity of the shield.,
Support Drone,Basic,0,3,"You may activate a support drone in any space adjacent to you. A support drone follows one character and provides one of two bonuses: +2 shield capacity or +2 accuracy. The support drone can move 2 spaces per turn, and follows its assigned target. The mode may only be changed on your turn, and only once per turn. Support drones have 1 armor, and 6 HP. Support drones to not take actions.",Technomancy
Medical Suite,Upgrade,,3,"If the support drone is adjacent to it's target it can perform a heal for 2 HP. If it provides a heal on your turn. If it provides a heal, it does not provide any other bonus until the start of your next turn.",Support Drone
"Defribulation Contacts",Upgrade,,,You may use your action to revive the character targeted by the support drone. That character revives at 2 HP. The support drone does not provide any bonus on a turn this is used.,Medical Suite
Assault Drone,Basic,0,3,"You may activate an assault drone in any space adjacent to you. An assault drone attacks either your target, or (if you don't have a target) the closest enemy. It has an accuracy of 3 and a damage of 2. With range 5. The assault drone may move 4 spaces per turn. Assault Drones have 2 armor, and 10 HP.",Technomancy
Heavy Loadout,Upgrade,,,The assault drone's damage increases to 3,Assault Drone
Twin Cannons,Upgrade,,,The assault drone gains Rapid (2) Recoil (1),Assault Drone
Incindiary Loadout,Upgrade,,3,The assault drone may blanket an area in flame. A cone shaped area adjacent to the drone is effected. Deal Fire 3 to all creatures within a cone of length 1 projecting from the drone.,Heavy Loadout
Caustic Loadout,Upgrade,,3,The assault drone may blanket an area in caustic spray. A cone shaped area adjacent to the drone is effected. Deal Caustic 3 to all creatures within a cone of length 1 projecting from the drone.,Heavy Loadout
"High Voltage Loadout",Upgrade,,3,The assault drone may blanket an area with a high voltage field. A cone shaped area adjacent to the dron eis effected. Deal Shock 3 to all creatures within a cone of length 1 projecting from the drone.,Heavy Loadout
"Geometry Coprocessor",Upgrade,,,Cones of effect projecting from the assault drone have a length of 2.,"Heavy Loadout, Level 5"
"Projector Array",Upgrade,,,Cone of effect projecting from teh assault drone have a length of 4.,Geometry Coprocessor
Remote Delivery System,Advanced,,3,"When an effect would cause the assault drone to project a cone of elemental damage, the drone may use the RDS system to launch a grenade. The elemental effect is unchaged, but the effect instead targets a radius of 3 within 10 spaces.","Geometry Coprocessor, Level 8"
Autonomy,Passive,,,"The targets of an assault drone may be specified. Additionally, the drone may use the Overwatch ability if it has no valid target.",Assault Drone
Capacitors,Passive,,,Drone duration is increased to 5,Technomancy
Microfusion,Passive,,,Drone duration is increased to 8,Technomancy
Multitranseiver,Passive,,,You may have up to 2 drones active at once.,"Technomancy, Level 5"
Remote Digistruct,Passive,,,You may activate a drone up to 5 spaces away from you.,"Technomancy, Level 5"
Digistruct Wiz,Passive,,,Activating a drone does not require an action.,Remote Digistruction
Tactical Drone,Advanced,0,3,"The tactial drone provides 3 stacks of Tactics. The drone can perform any of the following actions. Flashbang (3 Tactics) - Blinds all in radius 2, Range 8. Net cannon (1 Tactic) - Entangle 1 target, Stun Grenage (2 Tactics) - Slows all in radius 2, Range 8. The tactical drone may move 1 per turn. Tactical Drone has 1 armor and 10 HP",Digistruct AI
Overload,Defining,0,,"Every active drone gains 3 stacks of power. Each stack of power can be used for the following: +3 to damage or shield bonus, +6 Heal magnitude, +3 Movement, +3 Accuracy, +1 radius. 1 Stack of power can also be used to detonate the drone. Doing this deals 5 damage in a radius 1 area centered on the drone. If there are remaining stacks of power left on the drone at detontation, you must may spend them on the detonation.",Digistruct Operation
Immediate Reaction,Instant,,3,When a foe leaves a space adjacent to you you may make an immediate attack with a melee weapon. ,
Parry,Upgrade,,,"You may use immediate reaction as a defense if you are targeted with a melee attack. In this case, subtract every hit you score from your opponents hit total. This attack cannot reduce your foes hit total below zero and deals no damage.",Immediate Reaction
Sirenity,"Free",0,8,"Gain stacks of Sirenity equal to your phase pool. Sirens start with a phase pool of 3. Cooldown begins when all Sirenity is spent. If Sirenity is NOT spent during a turn, lose one Sirenity.",
Phase Pooling,Upgrade,,,"When Sirenity is active, gain 1 stack of Sirenity for each turn you spend zero movement.","Sirenity"
Phase Strike,Basic,0,3,"You may make a basic melee attack. You may spent a stack of Sirenity to gain +2 to either accuracy or +1 damage. You must declare the amount you are spending on accuracy, but you may choose to spend Sirenity on damage as it is delt.","Sirenity"
Phase Lock,Basic,3,5,"Select one target within range of Phase Strike. For every stack of Sirenity you spend on Phase Lock, deplete the targets shield by 2. If the target's shield is reduced to zero in this manner, the target is paralyzed for the duration of this skill. The targets shield does not regen while it is phase locked. If the target is immune to paralysis and would be paralyzed, instead deal 1 damage for every stack of Sirenity spent on this skill.",Phase Strike
Phase Jaunt,Basic,3,5,"Your character may spend only move actions while using Phase Jaunt. You may not be targeted and are uneffected by area effects while Phase Jaunting. When this skill ends you make immediately make a Phase Strike. You may choose to end this skill early. ","Sirenity"
Phase Battery,Upgrade,,,Your phase pool is increased by 3,
Phase Shield,Basic,1,3,You may spend 2 stacks of Sirenity to add 1 to your deflect. This effect lasts until the start of your next turn.,Sirenity
Phase Shift,Basic,0,3,You may spend a point of Sirenity to unlock a door or activate an unlocked terminal. Phase shift does not effect locked terminals.,Sirenity
Hold Phase,"Advanced",,"",You may spend 3 stacks of Sirenity to add 1 to the duration of one of your skills.,"Sirenity, Level 8"
Eridium Burn,Basic,0,3,"You may consume 1 Eridium crystal to add an arbitrary amount to any dice pool you would roll. You must declare this before you roll, but you may roll the pool before adding dice. For each die you add to the pool, receive 1 point of damage immediately.",Sirenity
Incindiary Phase,"Advanced",3,5,"You may spend a number of stacks of Sirenity on Incindiary Phase. If you do, your attacks gain Fire X, where X is half the number of stacks rounded down.","Sirenity, Level 5"
Caustic Phase,"Advanced",3,5,"You may spend a number of stacks of Sirenity on Caustic Phase. If you do, your attacks gain Caustic X, where X is half the number of stacks rounded down.","Sirenity, Level 5"
Shocking Phase,"Advanced",3,5,"You may spend a number of stacks of Sirenity on Shocking Phase. If you do, your attacks gain Shock X, where X is half the number of stacks rounded down.","Sirenity, Level 5"
Cryogenic Phase,"Advanced",3,5,"You may spend a number of stacks of Sirenity on Cryogenic Phase. If you do, your attacks gain Cryo X, where X is half the number of stacks rounded down.","Sirenity, Level 8"
Phase Burst,Upgrade,,,"You may spend a stack of Sirenity to increase the radius of Phase strike by 1. (Radius 0 is a single-target attack, radius 1 effects all adjacent)","Phase Strike, Level 8"
Phase Bond,Basic,0,,Your minion performs the Phase Strike ability. Spend Sirenity as if you were using it.,"Summon Minion, Sirenity, Phase Strike"
Telephase,Upgrade,,,Phase Strike gains a range of 5. ,"Phase Strike, Level 5"
Etherial Chains,"Advanced",0,1,"Using one stack of Sirenity, create Etherial chains to immobalize all targets in a radius 1. You may spend 2 stacks of Sirenity to increase the radius by 1. The movement of all foes in the area becomes 0. You may spend an additional 2 stacks of Sirenity to instead paralyze all targets. At the start of your turn, you must spend the same amount of Sirenity stacks to maintain the effect or it ends.",Telephase
Phase Syphon,,1,3,"For each target you deal damage to in a turn, gain 1 stack of Sirenity. Each target must be non-cybernetic biological creature.","Phase Strike, Level 5"
Sirene Grace,Basic,0,,You may spend 1 stack of Sirenity to heal 2 HP to a single adjacent target.,Sirenity
Angelic Grace,Upgrade,,,"When you use Sirene Grace, instead heal 4 for each stack of Sirenity spent.",Sirene Grace
"Graceful Aura",Upgrade,,,"When using Sirene Grace, you may divide the healing among creatures in radius one instead of adjacent.",Angelic Grace
Overdriven Grace,Upgrade,,,"When you use Sirene Grace, instead heal 6 for each stack of Sirenity spent.","Angelic Grace, Level 8"
Directed Grace,Upgrade,,,Sirene Grace may effect targets at up to range 5.,"Angelic Grace, Level 5"
Phase Armor,Basic,3,5,"Spend one stack of Sirenity to grant an adjacent target or yourself gains +2 armor for the duration of this skill.",Sirenity
Phase Reflexes,Basic,3,5,"Spend on stack of Sirenity to grant an adjacent target or yourself gains +2 circumstance bonus to dodge rolls.",Sirenity
Final Phase,Defining,5,10,"During the duration of this skill, any sirenity stacks gained are doubled. Additionally you may spend one stack of sirenity to reduce the damage of any incoming attack by 1. When you use Final Phase, you may also activate Sirenity without using an action. Your Sirenity cap is considered doubled while using this skill.","Sirenity, Level 12"
Assault Turret,Basic,3,5,Select a square adjacent to you. Deploy an assault turret there. The turret gains a turn at the end of the order. On it's turn it makes an attack against the closest target it can hit. The Assault turret attacks with acc 4 and dmg 2. You may only have 1 turrent deployed.,
"Turret Barrier",Upgrade,,,Any character adjacent to your turret recieves a +1 circumstance bonus to deflect.,Assault Turret
"Turret Armor",Upgrade,,,Deployed turrets gain 1 armor.,Assault Turret
Extra Barrel,Upgrade,,,Your Turrets make two attacks against their target.,Assault Turrent
"Support Systems",Upgrade,,,"Characters adjacent to your turret heal 1 point when the turret takes it's action.",Assault Turret
Improved Optics,Upgrade,,,Your turret makes attacks with accuracy 6 instead of 4.,Assault Turret
"Extended Powercell",Upgrade,,,Assault Turret durration becomes 5.,"Assault Turret, Level 5"
Explosive Shells,Upgrade,,,Your turret's attacks gain Explosive 2.,Assault Turret
Turret Clamp,Upgrade,,,"Turrets may be deployed on walls, or ceilings.",Assault Turret
Longbow Systems,Upgrade,,,Turrents may be deployed at range 15.,"Assault Turret, Level 8"
"Turrent Shield",Upgrade,,,"Turrets gain a shield of deflect 1, capacity 4, recharge 1.","Assault Turret, Level 5"
"Grenade System",Upgrade,,,Turrets may launch 1 grenade per deployment. They take this action instead of their standard atttack.,"Assault Turret, Level 5"
Rocket System,Upgrade,,,Turrets may launch up to 3 rockets per deployment. They take this action instead of their standard attack.,Grenade System
Devestating Deploy,Advanced,,,"When your turret is delpoyed, deal 5 explosive to all within 5 spaces, and move them 2 in a straight line away from the turret. Your turrent may not act the turn it is deployed.","Rocket System, Level 8"
Lightly Armored,Passive,,,You may use armor with a weight of up to 1,""
Moderately Armored,Upgrade,,,You may use armor with a weight of up to 2,Lightly Armored
Heavily Armored,Upgrade,,,You may use armor with a weight up to 3. Your movement is decreased 1 space for every 3 armor. Cannot decrease movement below 1.,Moderately Armored
Incredible Strength,Upgrade,,,Your movement is only decreased 1 space for every 6 armor.,Heavily Armored
Immovable,"Advanced",,,"When using armor with a weight 3 or greater, all forced movement is reduced by 1 for every 3 weight.",Heavily Armored
Walking Tank,Upgrade,,,You can use armor of weight 4 or greater.,Heavily Armored
Digistruct Plating,Reaction,3,5,"As an action or reaction, you can digistruct armor plating. This action adds +2 to your current armor rating instantly. This bonus lasts for the duration of the skill.","Technomancy, Moderately Armored"
Shield Link,Basic,3,5,"When you are adjacent to an ally, you may use your action to link shields. Linked shields combine capacities, and operate at the higher deflect bonus. Shields operate at the lowest recharge rate.",
Shieldbending,Basic,3,5,"You may transfer a portion of your shield capacity to an adjacent shielded ally as a reaction. If you or the ally moves non adjacent, this skill enters cooldown",Shield Link
Shield Merge,Passive,,,"You may use 2 shields. Combine their capacities, choose the higher deflect bonus, and the lower recharge rate.",
Shield Overclocking,Passive,,,Shields you use gain +1 recharge.,
Shield Overload,Advanced,,,"You may overload your shields to make an attack against all adjacent creatures/objects. For every 2 shield capacity currently remaining in your shields, the attack recieves 2 accuracy and 1 damage. This attack depletes your shields immediately.",Shield Overclocking
Shield Hardening,Passive,,,Shields you use gain +1 deflect.,
Shield Syphon,Advanced,,,"When you hit with a melee attack, you may use Shield Syphon. Remove damage from the targets sheild as normal. For every 2 points depleted, add 1 point to your current shield capacity. This cannot cause your shield capacity to go above it's maximum. If this attack deals no health damage, even if damage points remain after the target's shield is depleted.",Shield Link
"Shield Node",Defining,3,5,"When you use this skill you gain your shielding cap (3) stacks of Shielding. Each Stack of shielding depletes BEFORE your standard shield capacity (allowing shield capacity greater than your maximum). As an action, you may shift a number of stacks of shielding from any adjacent ally to yourself, or any other adjacent ally. Targets without shield node cannot have more than their shield node cap (3 by default) stacks of Shielding at a time. ","Shield Link, Level 5"
"Shield TX Array",Upgrade,,,"When using Shield Node you may shift Shield stacks from yourself to any target within 5 spaces.",Shield Node
Shield RX Array,Upgrade,,,"When using Shield Node you may shift Shield stacks to yourself from any target within 5 spaces.",Shield Node
Shield Battery,Upgrade,,,Your shielding cap increases by 3.,Shield Node
"Shield Nexus","Upgrade",,,When using Shield Node you may move stacks directly between targets within 5 spaces. Your shielding cap increases by 3.,"Shield TX Array, Shield RX Array, Level 8"
"Shield Control Virus",Upgrade,,,"When using Shield Node, you may convert Shield Capacity into stacks of shielding when shifting. This does NOT trigger shield depletion effects if you reduce current capacity to zero, but does trigger recharge delay.","Shield Node, Level 5"
"Shield Coprocessor",Upgrade,,,"When using Shield Node, you may shift stacks twice per action.",Shield Node
Shield Watercooling,Upgrade,,,Shield Node's Duration increases to 6.,Shield Node
